Date,PM2.5
2013-01-01,284.79583333333335
2013-01-02,219.72083333333333
2013-01-03,182.1875
2013-01-04,115.28749999999998
2013-01-05,0.0
2013-01-06,12.379166666666668
2013-01-07,154.03750000000002
2013-01-08,223.20833333333334
2013-01-09,200.64583333333337
2013-01-10,154.875
2013-01-11,129.38749999999996
2013-01-12,224.2458333333333
2013-01-13,285.22499999999997
2013-01-14,236.82499999999996
2013-01-15,276.90833333333336
2013-01-16,245.65
2013-01-17,218.67083333333326
2013-01-18,47.82500000000001
2013-01-19,108.0
2013-01-20,107.625
2013-01-21,125.89166666666667
2013-01-22,179.3083333333333
2013-01-23,239.85
2013-01-24,220.1916666666667
2013-01-25,181.01250000000005
2013-01-26,152.55416666666667
2013-01-27,152.32083333333335
2013-01-28,171.42916666666665
2013-01-29,251.375
2013-01-30,251.82916666666668
2013-01-31,319.7375
2013-02-01,332.7083333333333
2013-02-02,279.59999999999997
2013-02-03,179.11666666666667
2013-02-04,166.29999999999998
2013-02-05,78.25416666666666
2013-02-06,54.958333333333336
2013-02-07,54.791666666666664
2013-02-08,93.375
2013-02-09,103.0
2013-02-10,211.125
2013-02-11,192.29166666666666
2013-02-12,152.0
2013-02-13,132.20833333333334
2013-02-14,127.70833333333333
2013-02-15,109.33333333333333
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,56.458333333333336
2013-02-20,135.83333333333334
2013-02-21,122.5
2013-02-22,119.33333333333333
2013-02-23,67.125
2013-02-24,46.708333333333336
2013-02-25,69.66666666666667
2013-02-26,79.83333333333333
2013-02-27,62.708333333333336
2013-02-28,81.04166666666667
2013-03-01,21.208333333333332
2013-03-02,1.9166666666666667
2013-03-03,1.8333333333333333
2013-03-04,1.7916666666666667
2013-03-05,31.625
2013-03-06,112.08333333333333
2013-03-07,105.83333333333333
2013-03-08,117.58333333333333
2013-03-09,122.70833333333333
2013-03-10,76.54166666666667
2013-03-11,159.08333333333334
2013-03-12,147.95833333333334
2013-03-13,111.95833333333333
2013-03-14,59.208333333333336
2013-03-15,77.20833333333333
2013-03-16,87.83333333333333
2013-03-17,90.04166666666667
2013-03-18,63.916666666666664
2013-03-19,98.70833333333333
2013-03-20,123.70833333333333
2013-03-21,64.79166666666667
2013-03-22,62.875
2013-03-23,88.375
2013-03-24,77.66666666666667
2013-03-25,52.333333333333336
2013-03-26,52.041666666666664
2013-03-27,128.33333333333334
2013-03-28,87.58333333333333
2013-03-29,2.9166666666666665
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,23.208333333333332
2013-04-02,15.166666666666666
2013-04-03,21.25
2013-04-04,25.75
2013-04-05,52.416666666666664
2013-04-06,89.0
2013-04-07,81.83333333333333
2013-04-08,105.33333333333333
2013-04-09,117.75
2013-04-10,20.791666666666668
2013-04-11,64.79166666666667
2013-04-12,87.375
2013-04-13,84.5
2013-04-14,46.916666666666664
2013-04-15,104.625
2013-04-16,109.625
2013-04-17,63.458333333333336
2013-04-18,77.04166666666667
2013-04-19,110.875
2013-04-20,42.958333333333336
2013-04-21,0.0
2013-04-22,30.875
2013-04-23,75.58333333333333
2013-04-24,106.95833333333333
2013-04-25,120.875
2013-04-26,79.91666666666667
2013-04-27,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,38.5
2013-05-01,94.75
2013-05-02,142.5
2013-05-03,133.375
2013-05-04,102.41666666666667
2013-05-05,101.75
2013-05-06,117.95833333333333
2013-05-07,147.83333333333334
2013-05-08,158.29166666666666
2013-05-09,149.58333333333334
2013-05-10,107.29166666666667
2013-05-11,96.25
2013-05-12,76.25
2013-05-13,101.5
2013-05-14,106.5
2013-05-15,128.125
2013-05-16,108.0
2013-05-17,125.625
2013-05-18,137.16666666666666
2013-05-19,101.95833333333333
2013-05-20,98.41666666666667
2013-05-21,94.375
2013-05-22,118.5
2013-05-23,89.54166666666667
2013-05-24,87.25
2013-05-25,107.625
2013-05-26,110.41666666666667
2013-05-27,95.83333333333333
2013-05-28,93.5
2013-05-29,97.625
2013-05-30,76.95833333333333
2013-05-31,72.25
2013-06-01,38.666666666666664
2013-06-02,45.375
2013-06-03,65.16666666666667
2013-06-04,67.08333333333333
2013-06-05,80.04166666666667
2013-06-06,74.16666666666667
2013-06-07,66.08333333333333
2013-06-08,77.66666666666667
2013-06-09,70.25
2013-06-10,75.125
2013-06-11,37.166666666666664
2013-06-12,57.375
2013-06-13,56.291666666666664
2013-06-14,77.0
2013-06-15,32.958333333333336
2013-06-16,40.833333333333336
2013-06-17,42.541666666666664
2013-06-18,93.08333333333333
2013-06-19,80.625
2013-06-20,90.70833333333333
2013-06-21,97.29166666666667
2013-06-22,79.83333333333333
2013-06-23,87.75
2013-06-24,63.5
2013-06-25,50.708333333333336
2013-06-26,40.375
2013-06-27,49.416666666666664
2013-06-28,43.666666666666664
2013-06-29,52.166666666666664
2013-06-30,49.583333333333336
2013-07-01,61.875
2013-07-02,0.0
2013-07-03,29.666666666666668
2013-07-04,47.75
2013-07-05,37.708333333333336
2013-07-06,33.083333333333336
2013-07-07,49.125
2013-07-08,43.666666666666664
2013-07-09,29.833333333333332
2013-07-10,29.666666666666668
2013-07-11,56.708333333333336
2013-07-12,39.25
2013-07-13,35.208333333333336
2013-07-14,37.625
2013-07-15,41.458333333333336
2013-07-16,53.125
2013-07-17,54.875
2013-07-18,65.75
2013-07-19,38.583333333333336
2013-07-20,36.0
2013-07-21,70.58333333333333
2013-07-22,52.458333333333336
2013-07-23,36.583333333333336
2013-07-24,45.583333333333336
