,avg_temp,max_temp,min_temp,rel_humidity,total_rainfall,avg_visibility,avg_windspeed,max_windspeed,PM2.5,PM2.5_Predicted
109,22.7,28.4,20.2,80.0,0.0,6.3,6.7,11.1,28.375,34.68047619047617
110,23.4,28.0,20.1,76.0,0.0,6.9,6.3,7.6,50.333333333333336,50.33333333333347
111,23.9,29.5,20.6,74.0,0.0,6.3,6.1,9.4,35.375,35.375
112,23.7,29.5,20.9,76.0,0.0,6.9,6.3,9.4,31.916666666666668,40.429166666666625
113,22.9,27.8,20.4,83.0,0.0,6.3,4.4,5.4,35.291666666666664,35.29166666666654
114,21.3,27.8,19.8,88.0,7.87,5.5,4.6,7.6,26.833333333333332,71.66071428571429
115,20.7,25.1,19.0,89.0,21.34,6.9,4.4,5.4,21.125,21.125
116,22.6,26.8,19.6,81.0,1.52,6.3,8.5,14.8,35.708333333333336,53.418333333333344
117,22.4,26.7,19.7,81.0,0.0,5.5,6.7,9.4,43.583333333333336,33.341666666666676
118,22.7,28.4,20.1,77.0,5.59,6.9,6.7,7.6,46.041666666666664,64.83333333333334
119,22.4,26.7,19.5,82.0,14.48,6.3,5.2,7.6,82.875,69.06904761904757
120,23.9,29.0,19.5,73.0,0.25,6.3,4.6,7.6,64.91666666666667,72.82166666666662
121,24.2,29.7,19.9,69.0,0.0,6.9,3.9,5.4,30.666666666666668,30.666666666666618
122,24.6,30.1,21.9,77.0,1.52,6.9,1.5,5.4,34.416666666666664,34.41666666666655
123,24.3,30.8,19.2,72.0,22.86,6.9,0.9,3.5,33.166666666666664,33.16666666666657
124,23.9,31.4,19.0,76.0,79.76,6.9,1.5,5.4,30.625,30.625
125,22.9,31.4,19.5,80.0,12.45,6.9,3.7,11.1,30.333333333333332,30.33333333333338
126,22.2,27.7,20.0,85.0,0.0,6.3,4.8,7.6,0.0,51.54000000000002
127,21.8,25.4,19.5,89.0,3.05,5.5,2.8,5.4,0.0,0.0
128,21.7,25.4,19.1,84.0,60.71,5.5,3.3,5.4,0.0,80.0087023809524
129,22.9,27.4,19.8,87.0,42.42,6.6,4.1,5.4,76.875,107.68167857142872
130,23.2,27.5,20.5,87.0,27.18,6.9,3.0,5.4,83.45833333333333,147.16880952380924
131,23.0,27.5,20.6,84.0,1.52,4.8,4.4,5.4,71.66666666666667,118.78678571428563
132,23.2,28.8,20.5,81.0,0.0,6.3,7.6,11.1,69.70833333333333,69.7083333333331
133,22.1,28.4,20.6,85.0,0.0,6.9,8.0,18.3,62.375,62.375
134,23.1,27.9,20.2,80.0,1.78,6.9,5.9,11.1,24.875,22.632976190476192
135,23.8,28.3,19.4,73.0,0.0,7.7,3.9,5.4,43.958333333333336,43.95833333333355
136,24.7,30.4,19.5,68.0,0.0,9.2,5.0,7.6,41.5,41.5
137,24.9,30.8,20.0,64.0,0.0,7.7,4.4,7.6,38.791666666666664,38.7916666666665
138,23.8,29.5,19.6,73.0,0.0,6.9,5.0,7.6,30.333333333333332,30.33333333333338
139,24.2,29.5,21.1,73.0,0.0,6.9,6.3,11.1,26.666666666666668,26.6666666666667
140,23.6,28.9,20.3,72.0,0.0,6.3,4.8,7.6,29.0,29.0
141,23.9,30.0,21.1,81.0,6.6,6.3,3.1,5.4,60.541666666666664,96.25517857142849
142,23.2,28.4,19.2,80.0,22.35,6.3,3.7,9.4,41.583333333333336,89.92190476190483
143,23.9,28.9,20.0,71.0,0.0,6.9,6.7,7.6,80.04166666666667,80.04166666666703
144,24.9,30.8,20.6,70.0,0.0,6.9,4.8,7.6,82.83333333333333,46.407142857143
145,24.4,30.5,20.3,72.0,0.0,6.9,1.5,7.6,126.16666666666667,126.1666666666664
146,21.9,30.4,20.1,81.0,3.3,6.3,0.9,5.4,136.70833333333334,117.99129761904754
147,21.5,27.2,19.5,85.0,1.02,6.9,2.6,7.6,160.66666666666666,115.42523809523809
148,23.2,27.0,20.7,81.0,5.59,6.3,3.3,5.4,245.66666666666666,245.66666666666706
149,23.4,29.4,20.7,78.0,0.0,6.9,4.3,5.4,261.6666666666667,261.66666666666737
150,23.3,29.4,19.8,80.0,23.37,5.5,3.5,5.4,272.4166666666667,131.10372619047607
151,23.4,28.7,18.6,71.0,0.0,6.3,1.3,5.4,149.625,193.6952499999998
152,24.2,29.6,19.6,73.0,0.0,6.9,2.2,5.4,99.70833333333333,59.272559523809555
153,23.3,29.6,19.9,80.0,2.03,5.8,3.9,7.6,217.375,217.375
154,22.9,29.0,20.0,78.0,0.76,6.0,4.3,7.6,309.375,85.75250000000001
155,23.3,29.0,19.0,69.0,0.0,6.3,2.8,5.4,321.5416666666667,205.0770714285713
156,22.2,29.0,18.4,69.0,0.0,6.9,1.5,5.4,278.0,278.0
157,22.2,28.2,17.3,68.0,0.0,6.9,2.2,5.4,192.33333333333334,198.87646428571432
158,22.0,28.0,17.8,67.0,0.0,5.5,1.1,3.5,196.75,196.75
159,21.4,28.0,15.6,63.0,0.0,6.3,1.1,3.5,221.54166666666666,229.77416666666656
160,22.4,29.0,16.8,74.0,0.0,6.3,1.9,3.5,166.70833333333334,151.74052380952395
161,22.3,29.0,18.2,68.0,0.0,6.3,1.3,3.5,130.70833333333334,202.33980952380966
162,22.7,30.0,16.5,65.0,0.0,6.9,1.1,3.5,194.70833333333334,164.80258333333353
163,22.5,28.5,19.8,80.0,0.51,6.3,2.0,5.4,134.45833333333334,154.11322619047607
164,23.1,29.2,19.2,74.0,2.29,6.9,1.1,5.4,110.0,110.0
165,22.7,29.2,18.8,67.0,0.0,6.9,0.4,3.5,160.0,174.9407023809524
166,23.1,29.9,20.0,76.0,0.25,6.9,3.1,5.4,118.91666666666667,107.50830952380959
167,22.5,28.3,19.4,74.0,0.0,7.7,2.4,5.4,176.375,154.9908333333331
168,21.9,28.0,18.4,67.0,0.0,6.9,3.1,5.4,185.95833333333334,185.95833333333428
169,20.2,28.4,15.7,67.0,0.0,6.3,1.9,3.5,239.125,248.9084523809524
170,21.3,28.0,16.8,68.0,0.0,6.9,0.9,3.5,365.2916666666667,164.55869047619055
171,21.2,28.7,15.9,54.0,0.0,6.9,0.7,5.4,312.2083333333333,197.89923809523785
172,22.3,27.0,18.6,71.0,0.0,6.3,3.5,5.4,121.33333333333333,189.99173809523816
173,22.6,27.7,19.5,75.0,0.0,6.3,3.5,5.4,202.875,142.34438095238076
174,22.3,30.3,16.0,56.0,0.0,6.0,1.3,3.5,260.1666666666667,195.95626190476202
175,20.2,27.2,14.7,66.0,0.0,6.9,0.9,3.5,277.7083333333333,206.48809523809513
176,20.4,28.9,14.5,65.0,0.0,6.8,1.3,3.5,284.1666666666667,227.63376190476177
177,20.6,28.9,14.9,61.0,0.0,6.9,3.1,3.5,288.4166666666667,288.4166666666677
178,20.8,27.3,15.6,70.0,0.0,6.0,3.5,5.4,166.91666666666666,276.8651190476189
179,19.9,27.3,14.9,68.0,0.0,6.3,3.3,5.4,169.0,180.1414285714287
180,20.6,27.4,16.0,65.0,0.0,6.3,3.9,7.6,186.04166666666666,268.8590476190478
181,20.1,27.5,14.9,67.0,0.0,6.9,4.3,5.4,108.08333333333333,108.08333333333324
182,20.3,26.4,16.0,70.0,0.0,6.3,3.1,3.5,255.875,252.24678571428572
183,20.1,26.4,16.6,70.0,0.0,5.5,2.8,3.5,217.08333333333334,198.58535714285702
184,21.2,28.4,15.0,67.0,0.0,6.9,2.4,5.4,229.16666666666666,229.16666666666677
185,21.4,30.8,15.0,53.0,0.0,6.9,2.8,3.5,298.4583333333333,298.4583333333321
186,20.7,29.3,15.5,65.0,0.0,6.9,5.9,13.0,264.9166666666667,264.9166666666674
187,21.0,28.0,15.8,67.0,0.0,6.3,4.3,5.4,404.5,404.5
188,22.0,30.6,15.6,57.0,0.0,6.9,5.0,5.4,188.5,237.7145
189,22.4,30.5,17.0,52.0,0.0,7.7,3.9,5.4,164.75,159.67541666666702
190,22.1,29.5,16.3,59.0,0.0,6.9,3.3,5.4,376.9166666666667,376.9166666666685
191,21.8,28.5,16.9,68.0,0.0,6.9,5.0,5.4,0.0,0.0
192,20.9,28.1,17.0,66.0,0.0,6.9,3.5,5.4,0.0,183.13939285714306
193,20.4,27.4,15.2,61.0,0.0,6.9,3.9,5.4,57.0,206.5423809523811
194,22.0,29.5,16.9,58.0,0.0,6.9,3.9,5.4,202.91666666666666,181.524130952381
195,21.4,29.4,15.5,57.0,0.0,6.9,3.3,5.4,205.125,205.125
196,21.0,27.7,16.4,61.0,0.0,6.9,3.7,7.6,214.125,221.79621428571426
197,22.0,29.4,15.4,56.0,0.0,6.9,2.8,7.6,315.7916666666667,315.79166666666805
198,22.2,29.8,17.0,65.0,0.0,6.9,4.8,7.6,322.25,119.2368452380952
199,22.7,29.7,18.0,59.0,0.0,6.9,3.1,5.4,246.04166666666666,182.50565476190508
200,23.0,31.4,15.7,48.0,0.0,6.9,1.9,3.5,200.91666666666666,183.56676190476182
201,23.8,32.6,16.5,29.0,0.0,6.9,2.4,5.4,99.5,99.5
202,23.6,32.1,15.5,35.0,0.0,6.9,2.0,5.4,143.91666666666666,143.91666666666615
203,24.6,31.8,19.0,54.0,0.0,6.9,2.8,5.4,165.0,88.75525000000015
204,24.3,31.6,19.2,60.0,0.0,6.3,2.4,5.4,116.45833333333333,108.9317023809523
205,24.7,31.6,20.2,63.0,0.0,6.3,2.2,5.4,143.0,80.97013095238088
206,23.4,30.1,19.2,65.0,0.0,6.3,4.3,7.6,231.125,231.125
207,23.0,30.1,19.1,65.0,0.0,6.3,3.5,3.5,218.66666666666666,218.66666666666652
208,23.9,30.3,19.2,63.0,0.0,6.9,2.2,3.5,211.0,211.0
209,23.4,30.8,19.7,64.0,0.25,6.3,4.4,5.4,52.208333333333336,170.8983333333329
210,24.2,32.0,19.3,49.0,0.0,6.9,4.4,5.4,187.5,187.5
211,24.5,32.0,17.6,50.0,0.0,6.9,3.1,5.4,130.16666666666666,130.16666666666634
212,23.8,31.1,19.9,71.0,0.0,6.9,5.0,7.6,123.125,44.73571428571432
213,24.9,32.0,19.3,64.0,4.06,6.9,3.9,5.4,120.91666666666667,120.91666666666649
214,23.8,32.0,20.2,67.0,0.0,6.9,5.2,7.6,153.625,70.95559523809519
215,23.9,30.6,19.9,67.0,0.51,6.9,4.6,5.4,130.33333333333334,91.40617857142863
216,24.6,31.6,18.6,61.0,0.76,6.9,4.1,7.6,110.70833333333333,92.04821428571434
217,24.2,31.6,18.2,54.0,0.0,6.8,5.4,7.6,138.5,103.49132142857147
218,24.9,31.8,16.6,35.0,0.0,6.9,3.5,5.4,75.75,75.75
219,25.3,32.8,19.0,31.0,0.0,6.9,4.1,7.6,146.54166666666666,146.5416666666661
220,25.6,33.1,17.1,31.0,0.0,6.9,3.1,5.4,116.625,116.625
221,27.1,35.4,18.7,31.0,0.0,6.9,3.5,5.4,80.04166666666667,56.863333333333344
222,28.2,35.9,20.8,33.0,0.0,7.7,0.9,3.5,100.04166666666667,105.94
223,27.9,35.9,22.4,42.0,0.0,6.9,1.1,5.4,109.45833333333333,86.04619047619055
224,27.6,35.3,20.5,37.0,0.0,6.9,2.4,5.4,110.16666666666667,110.16666666666671
225,27.3,35.3,20.3,38.0,0.0,6.9,2.6,7.6,108.20833333333333,101.65190476190477
226,26.8,34.6,19.4,33.0,0.0,6.9,2.2,5.4,103.83333333333333,83.36988095238087
227,28.6,36.0,23.5,33.0,0.0,6.9,1.3,3.5,74.29166666666667,127.56726190476196
228,28.3,35.8,21.9,49.0,0.0,6.9,2.8,3.5,101.79166666666667,68.18607142857135
229,29.2,35.8,23.4,43.0,0.0,6.9,3.3,7.6,106.16666666666667,106.1666666666668
230,28.9,36.0,23.3,40.0,0.0,6.9,3.3,5.4,89.875,86.98035714285705
231,28.6,36.2,22.3,38.0,0.0,6.9,2.4,5.4,48.208333333333336,98.80869047619046
232,28.5,36.4,22.6,47.0,0.0,6.9,4.3,7.6,47.041666666666664,72.39226190476185
233,25.7,36.4,20.4,59.0,8.89,6.6,3.9,5.4,67.79166666666667,67.79166666666687
234,27.1,34.5,22.3,59.0,0.0,6.9,3.0,3.5,56.666666666666664,56.66666666666667
235,27.7,34.5,23.1,56.0,5.08,6.9,2.8,7.6,79.0,56.24654761904763
236,27.6,34.0,22.7,56.0,0.0,6.9,3.0,5.4,123.58333333333333,59.47321428571433
237,28.6,35.4,22.2,47.0,0.51,6.9,2.4,5.4,80.29166666666667,80.29166666666703
238,28.7,35.5,23.4,36.0,0.0,6.9,1.9,3.5,137.875,137.875
239,28.7,35.5,21.5,34.0,0.0,7.7,1.5,5.4,87.875,87.875
240,29.8,36.5,23.8,53.0,0.0,7.7,3.3,5.4,121.20833333333333,90.5386904761905
241,29.6,36.5,24.7,52.0,0.0,6.9,1.9,3.5,97.04166666666667,97.04166666666704
242,29.3,36.3,24.8,49.0,0.0,6.9,2.8,3.5,92.08333333333333,92.08333333333286
243,28.8,36.0,24.2,50.0,0.0,6.9,3.9,5.4,130.625,130.625
244,28.6,35.8,24.6,50.0,0.51,6.3,3.9,7.6,90.5,97.76190476190473
245,27.8,35.8,20.0,56.0,0.0,6.9,3.1,7.6,55.416666666666664,55.41666666666665
246,24.5,30.6,21.4,76.0,2.03,7.7,5.2,7.6,108.33333333333333,108.33333333333324
247,22.8,26.7,21.0,86.0,0.0,6.3,5.2,5.4,198.875,198.875
248,24.1,28.3,20.5,78.0,6.6,6.9,4.6,7.6,120.70833333333333,120.7083333333335
249,27.4,35.6,23.8,60.0,0.25,6.9,3.9,7.6,60.541666666666664,60.54166666666676
250,28.8,35.6,22.8,47.0,0.0,6.9,4.1,7.6,79.0,79.0
251,28.6,35.5,22.8,49.0,0.0,6.9,3.9,5.4,133.70833333333334,71.6984523809524
252,28.4,35.5,23.6,56.0,0.0,7.7,3.7,14.8,53.25,53.25
253,25.8,33.9,21.4,71.0,4.06,6.9,1.5,5.4,65.16666666666667,65.16666666666683
254,26.3,33.0,21.2,65.0,0.0,7.4,4.3,7.6,83.58333333333333,83.58333333333294
255,26.4,35.2,18.9,62.0,9.4,9.2,4.4,5.4,40.666666666666664,40.66666666666648
256,27.8,34.4,22.2,61.0,0.0,7.7,2.4,5.4,48.125,84.44214285714304
257,28.1,35.0,22.3,57.0,0.0,7.4,3.3,5.4,143.375,143.375
258,27.6,35.0,20.1,60.0,13.72,6.9,3.9,5.4,44.791666666666664,58.81547619047618
259,25.9,34.5,20.4,70.0,0.0,6.9,4.6,7.6,71.95833333333333,60.22535714285708
260,24.5,29.2,20.0,75.0,0.0,6.9,2.8,3.5,17.5,80.81488095238093
261,25.9,31.2,22.2,72.0,0.0,7.7,6.1,11.1,101.0,101.0
262,25.9,31.3,20.9,73.0,0.0,6.9,7.4,9.4,76.20833333333333,76.20833333333302
263,24.6,31.3,22.2,74.0,0.0,6.9,9.4,22.2,84.33333333333333,84.33333333333293
264,25.4,30.2,21.4,67.0,0.0,9.2,8.9,9.4,64.45833333333333,47.93595238095242
265,25.2,31.0,21.6,71.0,0.0,7.7,9.3,14.8,80.54166666666667,81.45190476190469
266,24.4,29.4,20.8,72.0,0.0,6.9,9.8,11.1,65.41666666666667,68.55499999999996
267,24.7,29.2,21.2,71.0,0.0,7.4,9.1,11.1,54.666666666666664,73.52916666666663
268,25.3,30.4,21.2,69.0,0.0,6.6,8.7,11.1,78.54166666666667,82.90548809523803
269,26.0,32.0,21.4,61.0,0.0,6.9,5.7,7.6,49.125,98.25428571428571
270,26.6,33.0,21.4,60.0,0.0,6.9,4.3,5.4,65.875,65.875
271,27.4,33.6,22.2,58.0,0.0,7.7,2.4,3.5,72.41666666666667,72.41666666666693
272,24.9,31.3,21.1,75.0,22.61,6.9,5.9,9.4,184.66666666666666,184.66666666666572
273,25.4,30.6,21.8,69.0,0.0,6.9,5.2,7.6,113.33333333333333,113.33333333333334
274,25.5,30.8,20.8,64.0,0.0,6.9,6.9,14.8,146.20833333333334,146.20833333333388
275,23.1,27.5,20.8,81.0,1.02,6.9,6.3,11.1,112.29166666666667,22.529404761904743
276,22.6,27.5,20.3,82.0,0.0,6.9,5.2,9.4,60.625,39.49904761904773
277,22.7,28.6,19.9,83.0,1.02,6.9,5.6,7.6,71.0,35.70642857142867
278,23.6,27.1,20.3,76.0,9.91,6.6,8.7,14.8,134.95833333333334,134.95833333333374
279,23.0,26.6,21.0,80.0,0.0,5.8,9.6,14.8,81.125,81.125
280,23.3,28.4,20.0,77.0,1.27,6.3,6.7,11.1,160.375,51.87809523809521
281,23.9,28.9,21.0,74.0,0.0,6.3,11.1,14.8,99.375,54.64773809523806
282,23.2,28.0,21.4,81.0,8.89,6.6,7.4,14.8,123.875,68.13309523809514
283,24.1,29.4,20.4,78.0,0.0,6.9,6.3,7.6,47.375,50.13250000000001
284,23.4,28.4,21.0,79.0,4.06,6.6,5.7,9.4,38.166666666666664,45.655952380952385
285,22.9,28.4,20.5,85.0,1.78,5.5,7.6,11.1,25.083333333333332,38.60571428571429
286,23.1,27.4,20.4,81.0,4.57,5.5,7.8,11.1,45.833333333333336,44.026190476190514
287,23.2,28.2,21.0,81.0,0.0,5.5,7.4,14.8,33.708333333333336,33.708333333333435
